magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
-0.6484126,-0.26266676,0.70605016,49436873,2_7
-0.62708515,-0.2346139,0.8349388,49948908,2_7
-0.67734545,-0.25004593,0.9032367,50439243,2_7
-0.69621265,-0.2483767,0.90730894,50929851,2_7
-0.60784197,-0.0664309,0.6464332,51441935,2_7
-0.63928705,-0.19942671,0.95353806,51932240,2_7
-0.67584455,-0.17620146,0.984353,52444221,2_7
-0.7265367,-0.25074652,1.2750057,52935228,2_7
-0.65990454,-0.22043212,0.90397304,53447106,2_7
-0.6944522,-0.18387671,0.7977016,53937605,2_7
