timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
748000,744000,2.3502016e-09,4.9668317e-05,0.00081941416,8.796591e-05,0.005861629,3.5726476e-05,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
760000,756000,2.4325084e-09,5.069828e-05,0.0008276849,0.00016665389,0.0068606576,0.00010777415,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
940000,936000,2.5842763e-09,5.4535467e-05,0.0008439208,0.00047781572,0.0028629892,0.0358312,512,0,1.3338492,1.7505797,0.0,nan,nan,0.0013145828,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1144000,1140000,2.7270772e-09,5.8522397e-05,0.0008878806,0.00015302985,0.0009963439,0.0125238625,512,0,1.2168343,1.2401834,0.0,nan,nan,0.0039053275,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1336000,1332000,3.128141e-09,6.2016836e-05,0.0009144155,1.041233e-05,0.0017292752,0.005238367,512,0,0.96366316,1.017015,0.0,nan,nan,0.0029464215,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1548000,1540000,3.0673593e-09,6.543857e-05,0.0009352317,1.09290295e-05,0.0020690153,0.0033678613,512,0,0.853632,0.89022017,0.0,nan,nan,0.0027271875,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1748000,1748000,3.0433294e-09,6.8419264e-05,0.0022485773,3.9108345e-05,0.0021661478,0.007624345,512,0,0.7888657,0.81319696,0.0,nan,nan,0.0020218624,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1948000,1948000,3.060748e-09,6.784556e-05,0.0017372298,0.00010225824,0.0021542404,0.0024938174,512,0,0.72531605,0.7642595,0.0,nan,nan,0.003813432,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2148000,2148000,3.0918013e-09,6.776224e-05,0.0014113868,0.00022182376,0.0026819159,0.003137371,512,0,0.6924293,0.7349816,0.0,nan,nan,0.0005696889,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2348000,2348000,3.1020593e-09,6.809188e-05,0.0012504777,0.0003852252,0.0037891148,0.0058112554,512,0,0.68336344,0.71989703,0.0,nan,nan,0.006997652,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
