timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6872000,6872000,0.99811953,-0.00019515233,-0.00036173585,0.061296843,0.99815106,-9.575306e-12,-1.4398899e-13,0.060782228,1
6880000,6880000,0.9999915,-0.00021853269,-0.0003770158,-0.004131549,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
7368000,7348000,0.99999666,0.00027535312,-0.00019055168,-0.002567862,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
7872000,7864000,0.9999964,0.00012319609,0.0003327753,-0.0026902533,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
8368000,8360000,0.9999969,0.00027069618,0.00058317615,-0.0024238934,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
8872000,8872000,0.9999969,0.00020937831,0.0005726891,-0.0024086754,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
9384000,9376000,0.9999977,0.0005821982,0.0004847828,-0.002044425,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
9872000,9868000,0.9999984,0.000581756,0.0005535952,-0.0016483534,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
10372000,10372000,0.9999979,0.0007893483,0.000275973,-0.001887226,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
10868000,10868000,0.9999937,0.0010865302,0.0024665664,-0.0023230358,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
11364000,11364000,0.9999934,0.0014443474,0.0028232362,-0.0017732362,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
11868000,11868000,0.99999726,0.0012131926,0.0011495964,-0.0016501693,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
12372000,12372000,0.99999523,-0.0015826282,0.0020083103,-0.0017413447,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
12872000,12872000,0.99999344,-0.00203595,0.002080362,-0.0021574895,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
13372000,13372000,0.9999918,-0.001597961,0.00029426743,-0.0037368261,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
13872000,13872000,0.9999943,-0.00080324337,0.0010535461,-0.0031113315,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
14368000,14348000,0.99999285,-0.00027558338,0.0006214936,-0.0037410588,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
14872000,14868000,0.9999929,0.00050227187,0.00025265384,-0.0037346617,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
15380000,15376000,0.99999136,0.00091371563,-0.00032501563,-0.0040343637,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
15868000,15864000,0.99999183,0.00089074223,-0.0005492562,-0.0038998749,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
16368000,16360000,0.9999929,0.0008288436,-0.00064982835,-0.0036290914,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
16868000,16856000,0.9999945,7.434702e-05,-0.00072619633,-0.0032262912,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
17372000,17368000,0.99999714,0.0004273363,0.00050847157,-0.002332361,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
17872000,17864000,0.9999957,0.00035872817,-7.225515e-05,-0.0029229838,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
18368000,18368000,0.9999951,9.684915e-06,-0.0011733039,-0.0029062936,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
18872000,18868000,0.99999535,7.2797106e-05,-0.0017830402,-0.0025126527,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
19380000,19372000,0.99999446,-0.0006544881,-0.001945195,-0.0026541655,0.9978598,3.6379792e-12,7.730706e-12,-0.06539047,2
