timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
880000,876000,2.39767e-09,5.0005252e-05,0.0008139216,2.8510085e-05,0.0029193365,2.245163e-05,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
892000,888000,2.4060616e-09,5.0048962e-05,0.0008169584,0.00025226822,0.0056110458,4.6896945e-05,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1076000,1068000,2.5615312e-09,5.3950094e-05,0.0008500109,0.00028391177,0.008334256,0.026149059,512,0,1.333851,1.7505233,0.0,nan,nan,0.0007522475,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1276000,1268000,2.8636242e-09,6.011862e-05,0.0018529736,5.865261e-05,0.0032660796,0.010214816,512,0,1.1756344,1.23975,0.0,nan,nan,0.0042672376,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1472000,1472000,3.162081e-09,6.514414e-05,0.0041044876,1.4349092e-05,0.0039925277,0.003979535,512,0,0.93888897,1.0163394,0.0,nan,nan,0.0012534723,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1672000,1672000,3.0397582e-09,6.577714e-05,0.0028424165,2.6131082e-05,0.004612365,0.004533586,512,0,0.85419965,0.8900747,0.0,nan,nan,0.0035934136,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1884000,1876000,3.0204117e-09,6.787998e-05,0.0021008893,0.000111418296,0.0054531205,0.0068472726,512,0,0.75423837,0.81142867,0.0,nan,nan,0.00070134894,0.0,0.0,0.0,0.004,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2076000,2076000,3.0810818e-09,6.996251e-05,0.0030825678,0.00022230427,0.0052519236,0.0055065444,512,0,0.6965924,0.76171833,0.0,nan,nan,0.0053309435,0.0,0.0,0.0,0.004,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2284000,2276000,3.1512926e-09,6.785048e-05,0.0034601153,0.0004769446,0.00594436,0.0055047087,512,0,0.66653866,0.7317179,0.0,nan,nan,0.0010951764,0.0,0.0,0.0,0.004,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2480000,2476000,3.199212e-09,6.788479e-05,0.002473702,0.0008293798,0.0077090235,0.006230921,512,0,0.6580027,0.7158236,0.0,nan,nan,0.00075385394,0.0,0.0,0.0,0.004,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2680000,2676000,3.1602014e-09,6.852128e-05,0.0018928413,0.0011598197,0.009535683,0.0077572516,512,0,0.65927655,0.7251865,0.0,nan,nan,0.00356878,0.0,0.0,0.0,0.004,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2880000,2876000,3.0906677e-09,6.876701e-05,0.0015224081,0.0011665844,0.009464131,0.0070448727,512,0,0.6588784,0.72672355,0.0,nan,nan,0.0038315475,0.0,0.0,0.0,0.004,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3080000,3076000,3.216776e-09,7.040301e-05,0.0013291345,0.00094776537,0.0074989726,0.0062270085,512,0,0.6514618,0.73313427,0.0,nan,nan,0.002394285,0.0,0.0,0.0,0.004,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3284000,3284000,3.5108656e-09,7.503131e-05,0.0023642033,0.000472483,0.0040115123,0.006136497,512,0,0.6254323,0.73831844,0.0,nan,nan,0.002634269,0.0,0.0,0.0,0.008,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3480000,3476000,3.4797767e-09,7.357233e-05,0.0025840306,3.4890352e-05,0.0073299347,0.014726611,512,0,0.6155536,0.7483397,0.0,nan,nan,0.004050971,0.0,0.0,0.0,0.012,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3676000,3673000,3.038456e-09,7.217563e-05,0.0037220311,0.00026516942,0.0061211656,0.00657572,512,0,0.599692,0.7579007,0.0,nan,nan,0.0033830507,0.0,0.0,0.0,0.012,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3884000,3884000,3.070404e-09,7.071751e-05,0.0049931556,0.0003775131,0.007829481,0.0066393563,512,0,0.5983926,0.77031577,0.0,nan,nan,0.00048311276,0.0,0.0,0.0,0.012,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4076000,4076000,3.1585479e-09,6.902158e-05,0.0034719624,0.0004314536,0.009151702,0.00794804,512,0,0.57364374,0.79248756,0.0,nan,nan,0.0011828096,0.0,0.0,0.0,0.012,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4280000,4268000,3.0083156e-09,6.879957e-05,0.0025146538,0.0004329334,0.009921621,0.00967459,512,0,0.5542773,0.79292506,0.0,nan,nan,0.00019884233,0.0,0.0,0.0,0.016,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4500000,4500000,3.3817016e-09,7.55697e-05,0.009457903,0.0004262212,0.009709681,0.010413014,512,0,0.5560969,0.8005085,0.0,nan,nan,0.0008646421,0.0,0.0,0.0,0.02,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4676000,4676000,3.4400365e-09,7.576239e-05,0.006481301,0.00048823215,0.009981232,0.010221675,512,0,0.5376221,0.79644436,0.0,nan,nan,0.000681155,0.0,0.0,0.0,0.024,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4860000,4852000,3.3049607e-09,7.125286e-05,0.004543435,0.00055744924,0.010481008,0.008991449,512,0,0.50542873,0.801339,0.0,nan,nan,0.0026569492,0.0,0.0,0.0,0.027999999,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5080000,5080000,3.4017549e-09,7.2988485e-05,0.0070600417,0.00067333854,0.01103965,0.009998858,512,0,0.5237279,0.7852405,0.0,nan,nan,0.005441986,0.0,0.0,0.0,0.027999999,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5264000,5260000,3.3027843e-09,7.0715236e-05,0.0048399456,0.0007065339,0.012279455,0.011009918,512,0,0.49935833,0.78841025,0.0,nan,nan,0.0034071715,0.0,0.0,0.0,0.027999999,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5476000,5476000,3.572515e-09,7.3487754e-05,0.0053084283,0.0006607514,0.011955397,0.014202409,512,0,0.4996242,0.78003114,0.0,nan,nan,0.0024218597,0.0,0.0,0.0,0.032,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5684000,5684000,3.2517118e-09,7.071943e-05,0.0035115965,0.0005650274,0.01014232,0.011611729,512,0,0.49757582,0.7703867,0.0,nan,nan,0.0037941241,0.0,0.0,0.0,0.032,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5884000,5884000,3.357871e-09,7.241015e-05,0.0025570965,0.00053173356,0.00880297,0.007752677,512,0,0.48725182,0.75702095,0.0,nan,nan,0.001845521,0.0,0.0,0.0,0.032,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6084000,6084000,3.3812417e-09,7.024995e-05,0.0018933709,0.0005597886,0.008844172,0.008890173,512,0,0.47677502,0.7439572,0.0,nan,nan,0.004246183,0.0,0.0,0.0,0.032,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6276000,6276000,3.162779e-09,6.778993e-05,0.0015043159,0.00021963168,0.0033745104,0.0036346505,512,0,0.6125862,0.7454604,0.0,nan,nan,0.0010492252,0.0,0.0,0.0,0.032,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6476000,6472000,3.2117242e-09,6.809575e-05,0.001308467,0.00027562186,0.0037347067,0.0047723697,512,0,0.58784664,0.73095906,0.0,nan,nan,0.0012440762,0.0,0.0,0.0,0.04,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6676000,6672000,3.262728e-09,6.9073896e-05,0.0011558849,0.00026714324,0.0043047103,0.0090415925,512,0,0.5748673,0.7209792,0.0,nan,nan,0.002457661,0.0,0.0,0.0,0.04,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6876000,6872000,3.3662428e-09,6.744261e-05,0.0011141938,0.0003068282,0.0038459837,0.0070589497,512,0,0.5610203,0.7126528,0.0,nan,nan,0.0018499701,0.0,0.0,0.0,0.04,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
7076000,7072000,3.150068e-09,6.698475e-05,0.0010972763,0.00029435058,0.0038223339,0.0064812144,512,0,0.54704535,0.7061415,0.0,nan,nan,0.00866597,0.0,0.0,0.0,0.04,1311004,1311004,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
7280000,7272000,3.3616512e-09,6.932861e-05,0.0010129281,0.0021078417,0.0032271838,0.0028764342,531,0,0.5300841,0.7015231,0.017978864,nan,nan,0.0009464942,0.0,0.0,0.0,0.04,1311004,1311004,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7480000,7468000,3.3474632e-09,6.9460555e-05,0.0009835797,0.0003383198,0.0021266714,0.0035125443,531,0,0.50295764,0.71043223,0.007971995,nan,nan,0.0052860784,0.0,0.0,0.0,0.044,1311004,1311004,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7684000,7668000,3.3563874e-09,6.854159e-05,0.000972296,0.00018877069,0.0017957614,0.0036688817,531,0,0.48065472,0.70930845,0.00992934,nan,nan,0.00012342245,0.0,0.0,0.0,0.044,1311004,1311004,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7880000,7876000,3.6929753e-09,7.1714836e-05,0.0029507582,0.00085049117,0.0013362839,0.0018262767,531,0,0.4662804,0.7128936,0.013442358,nan,nan,0.0037465503,0.0,0.0,0.0,0.044,1311004,1311004,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8080000,8076000,3.4943108e-09,7.1485236e-05,0.002121283,0.00043046052,0.0013641464,0.0016289144,531,0,0.45345485,0.71472585,0.0110545205,nan,nan,0.00078606216,0.0,0.0,0.0,0.044,1311004,1311004,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8280000,8272000,3.4078462e-09,6.941394e-05,0.0016621302,0.00059798436,0.0018667122,0.0031473432,531,0,0.44234398,0.72992224,0.0016980523,nan,nan,0.0038342068,0.0,0.0,0.0,0.048,1311004,1311004,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
