timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
732000,732000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.27000105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996000,988000,0.0,0.0,0.0,1.2221382,1.2221382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.314738,0.0,0.0,nan,0.0,0.0,0.25768954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496000,1496000,0.0,0.0,0.0,0.76408166,0.76408166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.091724,0.0,0.0,nan,0.0,0.0,0.25451773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996000,1992000,0.0,0.0,0.0,0.5303729,0.5303736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8379345,0.0,0.0,nan,0.0,0.0,0.25440678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2492000,2480000,0.0,0.0,0.0,0.52531195,0.5253127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.776121,0.0,0.0,nan,0.0,0.0,0.25423202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2992000,2988000,0.0,0.0,0.0,0.55792844,0.5579287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.797595,0.0,0.0,nan,0.0,0.0,0.2537876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3492000,3488000,0.0,0.0,0.0,0.5467699,0.5467702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.834941,0.0,0.0,nan,0.0,0.0,0.2533199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000000,4000000,0.0,0.0,0.0,0.51147187,0.5114726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.842048,0.0,0.0,nan,0.0,0.0,0.25290388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500000,4496000,0.0,0.0,0.0,0.4993254,0.49932617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82684,0.0,0.0,nan,0.0,0.0,0.25257394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000000,5000000,0.0,0.0,0.0,0.4826936,0.48269343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.812755,0.0,0.0,nan,0.0,0.0,0.2522982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
