timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
27446480,63.938477,21039.314,0,16,12110,65536,0,3,246
28449365,106.5791,105.95145,0,50,7007,65536,0,3,246
29450317,140.33594,69.92752,0,75,5218,65536,0,3,246
30451288,169.94922,56.50193,0,107,7366,65536,0,3,246
31452292,205.45312,51.249878,0,137,3791,65536,0,3,246
32453287,236.27539,47.162197,0,168,3941,65536,0,3,246
33454291,268.65527,44.695045,0,199,5615,65536,0,3,246
34455310,302.99023,43.211052,0,229,4101,65536,0,3,246
35456293,332.89062,41.544582,0,262,5410,65536,0,3,246
36457291,362.88574,40.25868,0,288,7302,65536,0,3,246
37458369,397.28906,39.66968,0,318,3880,65536,0,3,246
38459287,429.0,38.943897,0,346,3657,65536,0,3,246
39460289,456.42773,37.982315,0,377,7310,65536,0,3,246
40461376,491.28223,37.738873,0,405,3507,65536,0,3,246
41462290,525.1738,37.46198,0,435,111,65536,0,3,246
42463286,555.3545,36.974716,0,467,302,65536,0,3,246
43464440,586.3291,36.597534,0,496,352,65536,0,3,246
44465293,617.16797,36.257393,0,528,161,65536,0,3,246
45466292,644.042,35.73474,0,562,3929,65536,0,3,246
46467321,674.8633,35.474533,0,593,3660,65536,0,3,246
47468293,708.9424,35.40313,0,623,305,65536,0,3,246
48469295,740.28906,35.20851,0,657,314,65536,0,3,246
49470294,772.02734,35.04937,0,687,295,65536,0,3,246
50471291,800.8154,34.77595,0,717,3741,65536,0,3,246
51472296,832.0,34.625034,0,749,3942,65536,0,3,246
52473295,869.1699,34.725327,0,781,976,65536,0,3,246
53474306,900.0205,34.575127,0,808,4989,65536,0,3,246
54475288,938.6504,34.72387,0,808,756,65536,0,3,246
