timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
588000,588000,1310988,1310988,1.0652639e-06,-5.2860575e-13,3.195794e-06,-0.00012449849,2.39427e-05,-0.039193083,4000,4000,0,0
1000000,1000000,1310988,1310988,-2.8369717e-13,7.953143e-13,3.1957939e-06,5.7460842e-05,2.3942705e-05,-0.03937026,4000,4000,0,0
1500000,1500000,1310988,1310988,-1.0652647e-06,3.195794e-06,2.130529e-06,-4.7884034e-05,9.0980364e-05,-0.03907816,4000,4000,0,0
2000000,1992000,1310988,1310988,-3.1957936e-06,2.1305295e-06,1.0652647e-06,-1.436521e-05,4.3096326e-05,-0.039394196,4000,4000,0,0
2500000,2492000,1310988,1310988,-3.1957939e-06,-5.6739433e-13,-2.8369717e-13,-5.267244e-05,-2.8729737e-05,-0.039240967,4000,4000,0,0
3000000,2992000,1310988,1310988,-1.0652647e-06,2.1305289e-06,4.2610586e-06,0.0,6.224993e-05,-0.03907816,4000,4000,0,0
3500000,3500000,1310988,1310988,1.0652647e-06,-1.8913143e-13,-9.456571e-14,-2.8730421e-05,-1.4364529e-05,-0.03903507,4000,4000,0,0
4000000,4000000,1310988,1310988,6.6196e-13,4.2610586e-06,1.0652644e-06,-2.3942019e-05,-0.00012928621,-0.039561797,4000,4000,0,0
4500000,4472000,1310988,1310988,0.0,0.0,0.0,2.8730421e-05,1.4365894e-05,-0.039111685,4000,4000,0,0
5000000,5000000,1310988,1310988,1.0652649e-06,-2.1305298e-06,2.1305289e-06,-4.7884034e-05,6.8438266e-10,-0.03921224,4000,4000,0,0
5500000,5500000,1310988,1310988,-1.0652649e-06,2.1305293e-06,2.2631617e-13,1.43652105e-05,1.9154299e-05,-0.03903028,4000,4000,0,0
6000000,5992000,1310988,1310988,9.456571e-14,-1.0652647e-06,-1.13158086e-13,0.000100556485,2.3942703e-05,-0.039226606,4000,4000,0,0
6500000,6500000,1310988,1310988,0.0,0.0,0.0,5.267244e-05,-4.787719e-06,-0.039264914,4000,4000,0,0
7000000,7000000,1310988,1310988,-3.1957939e-06,-3.1957936e-06,1.0652655e-06,6.2249244e-05,4.3096315e-05,-0.039020706,4000,4000,0,0
7500000,7500000,1310988,1310988,-1.0652643e-06,2.1305295e-06,1.0652647e-06,-5.267244e-05,-4.7877184e-06,-0.03930322,4000,4000,0,0
8000000,8000000,1310988,1310988,1.0652647e-06,-9.456571e-14,-9.456571e-14,0.00012449849,4.309632e-05,-0.039341528,4000,4000,0,0
