timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
800000,800000,1.4897372e-11,3.8943504e-06,0.0001924338,1.688748e-05,0.00035250056,1.8717968e-06,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.004,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
812000,812000,1.497344e-11,3.935549e-06,0.00019006319,3.5016237e-05,0.0006705028,6.2323134e-06,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.004,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1004000,1004000,1.60651e-11,4.4472085e-06,0.00015947463,7.025521e-05,0.0009086322,0.00053677656,67109376,0,0.14069958,1.5657964,7.3465144e-06,nan,nan,0.00026864948,0.0,0.0,0.0,0.004,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1184000,1184000,1.7107583e-11,4.6774207e-06,0.00015052898,2.243348e-05,0.00035847328,0.005413052,67109376,0,0.58742064,1.2399968,5.65385e-05,nan,nan,0.00073062273,0.0,0.0,0.0,0.004,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1396000,1376000,1.7695264e-11,5.030006e-06,0.0001477774,2.5736717e-05,0.0010349368,0.004882722,67109376,0,0.2695632,1.0166671,3.9911138e-05,nan,nan,0.0007594535,0.0,0.0,0.0,0.004,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1600000,1600000,1.850796e-11,5.344191e-06,0.003156524,3.883319e-05,0.0009712997,0.00080437475,67109376,0,0.23735888,0.8636315,9.946673e-05,nan,nan,0.0014470104,0.0,0.0,0.0,0.004,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1800000,1800000,1.8686937e-11,5.43852e-06,0.0019578964,7.790407e-05,0.0008691835,0.00064837513,67109376,0,0.22170028,0.81302786,0.00011877918,nan,nan,0.0015466666,0.0,0.0,0.0,0.004,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2000000,2000000,1.8571608e-11,5.3587037e-06,0.001233363,7.428163e-05,0.0007027083,0.0014540817,67109376,0,0.21491185,0.7636662,7.983944e-06,nan,nan,0.000656206,0.0,0.0,0.0,0.004,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2200000,2200000,1.9520325e-11,5.4982283e-06,0.00079631933,9.8660086e-05,0.0006019154,0.0016232396,67109376,0,0.2061677,0.7339844,2.0181873e-05,nan,nan,0.0009789779,0.0,0.0,0.0,0.004,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2400000,2400000,2.0828622e-11,5.597047e-06,0.000529299,7.980291e-05,0.0015205763,0.0038991654,67109376,0,0.1940415,0.7183664,6.0251106e-05,nan,nan,0.002626862,0.0,0.0,0.0,0.004,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2600000,2592000,2.0377514e-11,5.883849e-06,0.0062176026,1.3068694e-05,0.0014404464,0.0036779104,512,0,0.16684426,0.7193286,0.0,nan,nan,0.0015049299,0.0,0.0,0.0,0.008,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2804000,2788000,1.9950583e-11,5.741162e-06,0.0038856107,1.6955024e-05,0.0014533135,0.0034052571,512,0,0.2859825,0.72318083,0.0,nan,nan,0.00064947567,0.0,0.0,0.0,0.012,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3000000,2988000,2.0301207e-11,5.3910594e-06,0.0024035065,4.2172505e-05,0.0011316768,0.0022658207,512,0,0.4112571,0.72639614,0.0,nan,nan,0.00013074091,0.0,0.0,0.0,0.012,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3200000,3200000,2.1242804e-11,5.711311e-06,0.0035230892,7.499401e-05,0.0010872924,0.0016736239,512,0,0.5170832,0.7334295,0.0,nan,nan,0.00018547395,0.0,0.0,0.0,0.012,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3400000,3400000,2.074519e-11,5.38303e-06,0.002176171,8.175883e-05,0.0018687303,0.0036255347,512,0,0.5631362,0.7362592,0.0,nan,nan,0.0017416553,0.0,0.0,0.0,0.012,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3584000,3568000,1.8837789e-11,5.2712867e-06,0.0014710865,8.740777e-05,0.0017873393,0.0035298741,512,0,0.5444161,0.744221,0.0,nan,nan,0.0019992113,0.0,0.0,0.0,0.012,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3804000,3804000,1.7569906e-11,5.6324134e-06,0.012103582,9.64586e-05,0.0006940605,0.0005830614,512,0,0.5647972,0.7519396,0.0,nan,nan,0.0003271419,0.0,0.0,0.0,0.016,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4004000,4004000,1.7350281e-11,5.479671e-06,0.007369111,5.3933716e-05,0.0009113334,0.0017301879,512,0,0.558406,0.7530422,0.0,nan,nan,0.00055904075,0.0,0.0,0.0,0.016,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4196000,4192000,1.8699368e-11,5.4534075e-06,0.0046367897,8.782883e-06,0.000811026,0.0018076579,512,0,0.53520006,0.74535286,0.0,nan,nan,0.0019986276,0.0,0.0,0.0,0.016,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4404000,4404000,1.9211141e-11,5.6425024e-06,0.0073214793,1.7800116e-05,0.00034638002,0.00020846594,512,0,0.51822054,0.7533866,0.0,nan,nan,0.0016076111,0.0,0.0,0.0,0.02,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4600000,4596000,2.0145838e-11,5.5796045e-06,0.004565856,2.8345396e-05,0.00058972934,0.00046587826,512,0,0.5167891,0.74924135,0.0,nan,nan,0.000408571,0.0,0.0,0.0,0.02,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4796000,4788000,1.829218e-11,5.345705e-06,0.0028674882,4.2289415e-05,0.0012043795,0.0023834484,512,0,0.50033736,0.7378447,0.0,nan,nan,7.375333e-05,0.0,0.0,0.0,0.02,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4996000,4996000,2.0692996e-11,5.7051907e-06,0.0028218927,6.915176e-05,0.0012582449,0.0021521798,512,0,0.4982551,0.73159343,0.0,nan,nan,0.00095717993,0.0,0.0,0.0,0.02,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5200000,5196000,1.861919e-11,5.2310643e-06,0.0017506934,9.250231e-05,0.001846802,0.0039647245,512,0,0.4890288,0.7221162,0.0,nan,nan,0.0011568443,0.0,0.0,0.0,0.02,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5400000,5392000,1.8760679e-11,5.2653654e-06,0.0011260331,0.00010677753,0.0019960047,0.0041714585,512,0,0.47609717,0.7102408,0.0,nan,nan,5.0800474e-05,0.0,0.0,0.0,0.024,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5604000,5604000,2.0724826e-11,5.4930383e-06,0.0021989087,0.0005317567,0.0024681725,0.003441608,67109395,0,0.14360543,0.7041799,0.0032330826,nan,nan,0.0023897747,0.0,0.0,0.0,0.024,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
5800000,5800000,2.3271456e-11,6.0192688e-06,0.010339898,0.001137935,0.0012427558,0.0017871358,531,0,0.18584926,0.7034998,0.011091776,nan,nan,0.0007940381,0.0,0.0,0.0,0.027999999,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
6004000,6004000,2.3005771e-11,6.0210396e-06,0.011514795,0.00018534176,0.0006499471,0.0018381655,531,0,0.2532126,0.7019878,0.0005271835,nan,nan,0.002264762,0.0,0.0,0.0,0.027999999,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
6200000,6196000,2.1279324e-11,5.8002834e-06,0.0071550338,0.00015230317,0.0009370762,0.002795206,531,0,0.3064198,0.70917076,0.0011829283,nan,nan,0.003510617,0.0,0.0,0.0,0.027999999,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
6400000,6396000,2.0382316e-11,5.4134616e-06,0.0043745083,0.00016420582,0.0005303434,0.0015455572,531,0,0.3980516,0.7017704,0.0014322308,nan,nan,0.00082779187,0.0,0.0,0.0,0.027999999,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
6596000,6596000,2.0963014e-11,5.6502295e-06,0.0042274953,0.0003060119,0.0005336651,0.00050906127,531,0,0.43995994,0.6949446,0.0019433581,nan,nan,0.0015401589,0.0,0.0,0.0,0.027999999,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
6800000,6800000,2.017275e-11,5.646712e-06,0.003411944,3.9188115e-05,0.0008344203,0.0011115808,531,0,0.4657306,0.6889692,0.0052885143,nan,nan,0.0010648248,0.0,0.0,0.0,0.027999999,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
6928000,6916000,2.0489775e-11,5.511331e-06,0.0031655845,9.3272705e-05,0.0013471298,0.0013604838,531,0,0.43903863,0.69125736,0.0028555773,nan,nan,0.00025507438,0.0,0.0,0.0,0.027999999,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7196000,7192000,2.2490237e-11,6.1965657e-06,0.011475411,7.897651e-05,0.0011764644,0.0013889952,531,0,0.46524107,0.6652542,0.00097245444,nan,nan,9.9741446e-05,0.0,0.0,0.0,0.067999996,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7396000,7396000,2.089339e-11,5.8723076e-06,0.00837804,6.7324596e-05,0.0012076215,0.0014150632,531,0,0.48603797,0.68297774,0.0014284729,nan,nan,0.0016948325,0.0,0.0,0.0,0.067999996,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7600000,7596000,2.2646768e-11,5.8183386e-06,0.0051135267,5.841345e-05,0.0012007749,0.0014761487,531,0,0.48212218,0.6795945,0.0053018397,nan,nan,0.0015102837,0.0,0.0,0.0,0.067999996,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7800000,7796000,2.1662854e-11,5.635691e-06,0.0031475194,8.358083e-05,0.0010243467,0.0014667824,531,0,0.47481048,0.6756812,0.0011626884,nan,nan,0.00072739203,0.0,0.0,0.0,0.067999996,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7992000,7984000,2.185216e-11,5.6133226e-06,0.002011277,8.278935e-05,0.0013674905,0.0036603857,531,0,0.46124458,0.66916865,0.008427169,nan,nan,0.003042961,0.0,0.0,0.0,0.067999996,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8204000,8204000,2.1017051e-11,5.617365e-06,0.0027229618,0.00018216003,0.00090737303,0.0027120896,531,0,0.45877066,0.66946733,0.00029108432,nan,nan,0.0024854394,0.0,0.0,0.0,0.067999996,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8404000,8404000,2.024581e-11,5.432521e-06,0.0016921607,6.938987e-05,0.00045231206,0.0015185261,531,0,0.4472563,0.66561216,0.0020170496,nan,nan,0.0011579787,0.0,0.0,0.0,0.067999996,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8604000,8604000,1.985614e-11,5.3928325e-06,0.0010669552,4.545173e-05,0.00072548597,0.002335795,531,0,0.43551847,0.6625938,0.0038543257,nan,nan,0.0015976012,0.0,0.0,0.0,0.067999996,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8804000,8804000,2.1189451e-11,5.280384e-06,0.0006923396,0.00023657554,0.0002965904,0.0006896808,67109395,0,0.14829272,0.67290163,0.007888165,nan,nan,0.0010406211,0.0,0.0,0.0,0.067999996,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
9000000,8996000,2.0914753e-11,5.2508144e-06,0.0004740796,6.9394264e-05,0.00030923152,0.00060047937,67109395,0,0.11673226,0.67013556,0.008504294,nan,nan,0.00024161696,0.0,0.0,0.0,0.067999996,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
9188000,9184000,2.0168535e-11,5.247629e-06,0.00033908023,0.00017392455,0.0003736268,0.0006700238,67109395,0,0.10535804,0.66897666,0.014825401,nan,nan,0.0021524765,0.0,0.0,0.0,0.067999996,1310996,1310996,6620172,197644,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
