timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
5560000,5556000,0.99806416,0.00018910093,5.3965654e-05,0.062193662,0.99806994,2.679926e-11,-7.222499e-11,0.06210042,1
5564000,5560000,0.9999995,0.00018980517,4.2282307e-05,-0.00097466895,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
6060000,6044000,0.9999995,0.00020976225,1.07399665e-05,-0.0009902269,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
6556000,6556000,0.99999964,0.0002437247,-5.240832e-06,-0.00086245843,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
7060000,7060000,0.99999976,0.00023127523,5.0211213e-05,-0.0007687677,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
7560000,7548000,0.99999976,0.000102300844,0.00014170124,-0.00070025143,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
8056000,8052000,0.99999976,5.128759e-05,0.00019026508,-0.0006796313,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
8556000,8556000,0.99999976,4.107551e-05,0.00018761319,-0.00069798017,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
9060000,9060000,0.99999976,4.4975273e-05,0.00018585696,-0.0007136601,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
9560000,9552000,0.99999976,1.5172718e-05,0.00013047371,-0.000765139,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
10060000,10048000,0.99999964,-4.778391e-06,3.6197434e-05,-0.00088085706,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
10560000,10556000,0.99999964,1.9221221e-05,-5.6362533e-05,-0.0009359129,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
11060000,11056000,0.99999964,1.9688105e-05,-4.5525856e-05,-0.0009568566,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
11564000,11556000,0.9999995,-1.1967863e-05,-7.613765e-06,-0.00096430583,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
12068000,12064000,0.9999995,-1.4537928e-05,4.2092644e-05,-0.0010017672,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
12560000,12556000,0.99999964,-1.3356087e-05,-9.3750365e-05,-0.0009591944,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
13056000,13052000,0.9999995,0.00012211196,5.0356884e-05,-0.0009660564,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
13560000,13556000,0.9999994,0.00014372262,-6.808127e-05,-0.00108158,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
14060000,14056000,0.9999993,0.00010603001,-7.564502e-05,-0.0011984581,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
14560000,14556000,0.9999993,0.00013680181,-0.00017573911,-0.0012109951,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
15056000,15052000,0.9999994,0.00016642835,-0.00022981392,-0.0011442694,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
15560000,15556000,0.9999993,0.00011591156,-0.00017407576,-0.0012042824,0.9980033,-1.3756107e-11,9.094947e-13,-0.06316179,2
