timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
1000000,94.518555,167.58609,0,0,8774,1024000,0,3,255
2000000,143.08105,91.484055,0,116,9155,1024000,0,3,255
3004000,192.2793,74.875114,0,233,9192,1024000,0,3,255
4004000,252.08203,70.650795,0,347,170,1024000,0,3,255
5004000,301.21484,65.9402,0,451,170,1024000,0,3,255
6004000,353.14746,63.424473,0,580,91,1024000,0,3,255
7004000,410.09766,62.438744,0,681,91,1024000,0,3,255
8004000,465.31934,61.48511,0,780,207,1024000,0,3,255
9004000,521.5537,60.87228,0,887,207,1024000,0,3,255
10004000,578.7549,60.488594,0,1002,128,1024000,0,3,255
11004000,639.7051,60.532276,0,1106,128,1024000,0,3,255
12004000,702.3213,60.71242,0,1205,141,1024000,0,3,255
13004000,761.1797,60.564903,0,1312,104,1024000,0,3,255
14004000,821.5635,60.55155,0,1418,25,1024000,0,3,255
15004000,883.0918,60.6186,0,1517,104,1024000,0,3,255
16004000,942.98926,60.57228,0,1623,104,1024000,0,3,255
17004000,1000.0,60.357315,0,1731,3015,1024000,0,3,255
18004000,1062.3262,60.469383,0,1846,25,1024000,0,3,255
19004000,1121.8213,60.416916,0,1952,25,1024000,0,3,255
20004000,1180.6348,60.334972,0,2071,195,1024000,0,3,255
21004000,1240.6494,60.3194,0,2167,195,1024000,0,3,255
22004000,1299.2588,60.240112,0,2296,142,1024000,0,3,255
23004000,1358.9131,60.214153,0,2402,104,1024000,0,3,255
24004000,1417.6396,60.15104,0,2531,141,1024000,0,3,255
25004000,1476.7549,60.10888,0,2669,170,1024000,0,3,255
26004000,1538.2246,60.1621,0,2771,170,1024000,0,3,255
27004000,1597.4297,60.12608,0,2881,170,1024000,0,3,255
28004000,1654.8916,60.02944,0,2988,170,1024000,0,3,255
29004000,1712.373,59.940247,0,3123,141,1024000,0,3,255
30004000,1771.3848,59.908844,0,3233,170,1024000,0,3,255
31004000,1831.584,59.918346,0,3353,170,1024000,0,3,255
32004000,1894.4648,60.01219,0,3479,170,1024000,0,3,255
33004000,1959.001,60.151096,0,3598,170,1024000,0,3,255
34004000,2019.6191,60.165016,0,3723,170,1024000,0,3,255
35004000,2073.7646,59.990875,0,3837,6071,1024000,0,3,255
36004000,2139.253,60.14544,0,3966,208,1024000,0,3,255
37004000,2198.2686,60.114544,0,4100,91,1024000,0,3,255
38004000,2256.4932,60.06423,0,4212,104,1024000,0,3,255
39004000,2306.3018,59.79832,0,4322,10042,1024000,0,3,255
40004000,2376.2861,60.055756,0,4433,25,1024000,0,3,255
41004000,2436.4033,60.057266,0,4556,25,1024000,0,3,255
42004000,2496.0469,60.047318,0,4658,25,1024000,0,3,255
43004000,2555.8018,60.04045,0,4767,25,1024000,0,3,255
44004000,2615.625,60.03546,0,4893,104,1024000,0,3,255
45004000,2675.712,60.036617,0,5003,104,1024000,0,3,255
46004000,2734.796,60.01571,0,5131,145,1024000,0,3,255
47004000,2795.1455,60.02288,0,5250,142,1024000,0,3,255
48004000,2855.124,60.021946,0,5352,142,1024000,0,3,255
49004000,2914.8896,60.01667,0,5466,142,1024000,0,3,255
50004000,2975.0498,60.01956,0,5571,142,1024000,0,3,255
51004000,3034.6406,60.011086,0,5681,25,1024000,0,3,255
52004000,3094.1025,60.00044,0,5791,104,1024000,0,3,255
53004000,3152.3633,59.967342,0,5908,104,1024000,0,3,255
54004000,3211.7002,59.955574,0,6021,104,1024000,0,3,255
55004000,3270.3555,59.931744,0,6145,25,1024000,0,3,255
56004000,3329.3037,59.914047,0,6261,104,1024000,0,3,255
57004000,3387.9033,59.89081,0,6376,181,1024000,0,3,255
58004000,3447.3584,59.883244,0,6491,91,1024000,0,3,255
59004000,3507.4736,59.887203,0,6591,170,1024000,0,3,255
60004000,3566.4775,59.872375,0,6712,91,1024000,0,3,255
61004000,3625.458,59.857647,0,6817,170,1024000,0,3,255
62004000,3685.0908,59.853996,0,6927,170,1024000,0,3,255
63004000,3744.8047,59.851753,0,7042,170,1024000,0,3,255
64004000,3805.7568,59.86907,0,7148,25,1024000,0,3,255
65004000,3866.497,59.882557,0,7270,25,1024000,0,3,255
66004000,3927.6777,59.902355,0,7384,145,1024000,0,3,255
67004000,3988.5967,59.91763,0,7502,104,1024000,0,3,255
68004000,4050.2773,59.94372,0,7605,104,1024000,0,3,255
69004000,4110.287,59.944683,0,7726,25,1024000,0,3,255
