magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.275356,-0.038484074,0.4727729,61684000,2_7
0.27517658,-0.036627807,0.47339272,61704000,2_7
0.27828002,-0.035707135,0.4722428,61724000,2_7
0.27597752,-0.038477622,0.47279826,61744000,2_7
0.277621,-0.034663964,0.47208735,61764000,2_7
0.27638277,-0.036873467,0.47093412,61784000,2_7
0.2776352,-0.03467148,0.47228757,61804000,2_7
0.27850083,-0.032905858,0.47256613,61824000,2_7
0.2789075,-0.031414732,0.47050807,61844000,2_7
0.2807687,-0.03137073,0.47095704,61864000,2_7
0.28313836,-0.028877804,0.46894374,61884000,2_7
0.28523776,-0.026651373,0.4661417,61904000,2_7
0.2850465,-0.02638157,0.4663472,61924000,2_7
0.28884622,-0.025494767,0.46647507,61944000,2_7
0.28791097,-0.026753971,0.4679388,61964000,2_7
0.2850399,-0.031155301,0.46961626,61984000,2_7
0.283041,-0.032739215,0.47069606,62004000,2_7
0.27997383,-0.040319115,0.47019845,62024000,2_7
0.27814177,-0.045152564,0.47152564,62044000,2_7
0.2745264,-0.05301698,0.47164923,62064000,2_7
0.27221403,-0.06093354,0.47153434,62084000,2_7
0.27185032,-0.06753613,0.47190467,62104000,2_7
0.27019894,-0.075774394,0.47203642,62124000,2_7
0.27126786,-0.08333989,0.47049543,62144000,2_7
0.26887384,-0.0874504,0.46992365,62164000,2_7
0.26931077,-0.092947,0.46840832,62184000,2_7
0.26882043,-0.09578435,0.46880338,62204000,2_7
0.2680038,-0.10046675,0.469376,62224000,2_7
0.26839566,-0.10011294,0.46979848,62244000,2_7
0.26644462,-0.09847286,0.46864745,62264000,2_7
0.26686296,-0.09575265,0.47040793,62284000,2_7
0.26659796,-0.09458102,0.47078967,62304000,2_7
0.26586547,-0.08466606,0.4699975,62324000,2_7
0.26694092,-0.078708075,0.472514,62344000,2_7
0.26767564,-0.06792671,0.47477913,62364000,2_7
0.26858696,-0.059315443,0.47582036,62384000,2_7
0.26653752,-0.04814332,0.4763146,62404000,2_7
0.26935148,-0.03799568,0.4779069,62424000,2_7
0.26952502,-0.02838092,0.47746354,62444000,2_7
0.26908526,-0.018616779,0.47596502,62464000,2_7
0.2701844,-0.011606974,0.47732607,62484000,2_7
0.2750608,-0.004864779,0.47431895,62504000,2_7
0.27505872,0.0010987612,0.4737529,62524000,2_7
0.2752698,0.005394153,0.47492743,62544000,2_7
0.2733671,0.0071047503,0.47625837,62564000,2_7
0.27172524,0.0076418133,0.47388634,62584000,2_7
0.273422,0.0057285945,0.47695667,62604000,2_7
0.2717568,0.00020362732,0.47483736,62624000,2_7
0.26947162,-0.0011600322,0.4762125,62644000,2_7
0.27026176,-0.006548503,0.47709107,62664000,2_7
0.27034265,-0.013825478,0.47774488,62684000,2_7
0.26943454,-0.019812623,0.47663474,62704000,2_7
0.26972476,-0.025809143,0.47569188,62724000,2_7
0.27014536,-0.033310108,0.47790742,62744000,2_7
0.27057052,-0.03881941,0.47676316,62764000,2_7
0.27125046,-0.04542585,0.47461253,62784000,2_7
0.2728938,-0.05111404,0.47200304,62804000,2_7
0.27520332,-0.05308519,0.47091895,62824000,2_7
0.27689645,-0.05678566,0.46984312,62844000,2_7
0.27674875,-0.058345027,0.46754608,62864000,2_7
0.2778364,-0.061049968,0.46881363,62884000,2_7
0.2789433,-0.059481498,0.46751562,62904000,2_7
0.281769,-0.05872931,0.46706054,62924000,2_7
0.28049126,-0.05522081,0.46716258,62944000,2_7
0.2787678,-0.055589892,0.47009134,62964000,2_7
0.2791465,-0.050954908,0.4696748,62984000,2_7
0.27915683,-0.048335344,0.47173148,63004000,2_7
0.2755563,-0.045822695,0.47040996,63024000,2_7
0.2741392,-0.040638633,0.47317216,63044000,2_7
0.27495703,-0.03739957,0.47302002,63064000,2_7
0.27250504,-0.033779055,0.47319004,63084000,2_7
0.2725327,-0.030308599,0.47513804,63104000,2_7
0.27353105,-0.025351694,0.4753616,63124000,2_7
0.27363393,-0.024111582,0.47372243,63144000,2_7
0.27302125,-0.020841923,0.47415495,63164000,2_7
0.273626,-0.020202896,0.47461206,63184000,2_7
0.27329025,-0.019994304,0.47641984,63204000,2_7
0.27199182,-0.020919615,0.47766635,63224000,2_7
0.27263907,-0.023918105,0.47500473,63244000,2_7
0.27396128,-0.023677554,0.4750824,63264000,2_7
0.2731541,-0.025166545,0.47375193,63284000,2_7
0.2759708,-0.02858131,0.4746484,63304000,2_7
0.27479997,-0.031145161,0.47340775,63324000,2_7
0.2755957,-0.032461014,0.47401005,63344000,2_7
0.27355096,-0.037668742,0.47088167,63364000,2_7
0.27558962,-0.04054637,0.47309944,63384000,2_7
0.27811235,-0.043283988,0.47270012,63404000,2_7
0.27604398,-0.04393329,0.47196275,63424000,2_7
0.27574617,-0.046009608,0.47329804,63444000,2_7
0.27600917,-0.048741322,0.47047424,63464000,2_7
0.27453578,-0.048146065,0.47048256,63484000,2_7
0.276632,-0.04777364,0.47043702,63504000,2_7
0.27741662,-0.048124637,0.47092566,63524000,2_7
0.275251,-0.04483623,0.4732851,63544000,2_7
0.27656838,-0.04508933,0.47246295,63564000,2_7
0.2755277,-0.044377122,0.4722581,63584000,2_7
0.2739707,-0.041789297,0.47279248,63604000,2_7
0.27612025,-0.040960114,0.47351977,63624000,2_7
0.27528667,-0.041576385,0.47225052,63644000,2_7
0.27446344,-0.039085057,0.47385484,63664000,2_7
0.27632844,-0.039904114,0.4729062,63684000,2_7
0.27394876,-0.03772628,0.47365886,63704000,2_7
0.2745517,-0.037372388,0.47136876,63724000,2_7
0.27472693,-0.037484456,0.4703973,63744000,2_7
0.2763474,-0.038771696,0.4719492,63764000,2_7
0.27652243,-0.03694247,0.47111544,63784000,2_7
0.2758979,-0.038722437,0.47068158,63804000,2_7
0.27628624,-0.038487494,0.47180292,63824000,2_7
0.27689895,-0.037365884,0.47264558,63844000,2_7
0.27652398,-0.040550854,0.4725535,63864000,2_7
0.27531865,-0.038873214,0.4705617,63884000,2_7
0.27838442,-0.038154196,0.4715798,63904000,2_7
0.27805156,-0.039488673,0.4709621,63924000,2_7
0.2766013,-0.039137434,0.47078186,63944000,2_7
0.27826992,-0.039100252,0.47067234,63964000,2_7
0.2786871,-0.03975035,0.47067904,63984000,2_7
0.27787623,-0.03919785,0.47133514,64004000,2_7
0.27891815,-0.037189778,0.46964636,64024000,2_7
0.2784176,-0.040428426,0.47048497,64044000,2_7
0.2773926,-0.037684716,0.4727671,64064000,2_7
0.27767542,-0.038611766,0.4708429,64084000,2_7
0.2780672,-0.0376865,0.46994233,64104000,2_7
0.27839896,-0.038693484,0.47003204,64124000,2_7
0.2765118,-0.039047573,0.47169003,64144000,2_7
0.2770312,-0.038475122,0.47207913,64164000,2_7
0.27886832,-0.039901566,0.47242758,64184000,2_7
0.277947,-0.040376738,0.47152123,64204000,2_7
0.27897647,-0.038650315,0.471634,64224000,2_7
0.28042105,-0.04007534,0.47167262,64244000,2_7
0.27922443,-0.04071672,0.47163558,64264000,2_7
0.2774155,-0.038131483,0.47068787,64284000,2_7
0.2765068,-0.039057966,0.4733472,64304000,2_7
0.2786388,-0.03686526,0.47217503,64324000,2_7
0.27722183,-0.038103264,0.47060558,64344000,2_7
0.278923,-0.03907175,0.47128993,64364000,2_7
0.2791925,-0.03862082,0.47124752,64384000,2_7
0.27701923,-0.037542004,0.47141758,64404000,2_7
0.27836454,-0.036477756,0.47204658,64424000,2_7
0.27738166,-0.037497986,0.46899673,64444000,2_7
0.27525225,-0.036316067,0.47093177,64464000,2_7
0.27592012,-0.03773748,0.4743248,64484000,2_7
0.2761998,-0.03749658,0.47215873,64504000,2_7
0.2783936,-0.035901394,0.47312117,64524000,2_7
0.27804086,-0.03578154,0.4725042,64544000,2_7
0.27535257,-0.036994357,0.47061983,64564000,2_7
0.27799153,-0.03547107,0.47160855,64584000,2_7
0.2768649,-0.038059574,0.472334,64604000,2_7
0.27764377,-0.03750923,0.47375757,64624000,2_7
0.27787644,-0.03535797,0.4727225,64644000,2_7
0.27607065,-0.038529452,0.4719022,64664000,2_7
0.27663836,-0.036401607,0.47258592,64684000,2_7
0.27628633,-0.03531179,0.47281644,64704000,2_7
0.27472642,-0.036992382,0.47246525,64724000,2_7
0.2769969,-0.036471475,0.47247076,64744000,2_7
0.27756792,-0.035000842,0.47479773,64764000,2_7
0.275475,-0.03717877,0.47253132,64784000,2_7
0.27686068,-0.036994763,0.47321168,64804000,2_7
0.27596354,-0.03627118,0.472148,64824000,2_7
0.27858385,-0.036824547,0.4712521,64844000,2_7
0.27671298,-0.0355894,0.4715197,64864000,2_7
0.2762083,-0.035461437,0.47564182,64884000,2_7
0.27554864,-0.036049884,0.47171536,64904000,2_7
0.27558824,-0.034344103,0.47381124,64924000,2_7
0.27812108,-0.034562822,0.47234964,64944000,2_7
0.27722025,-0.03463019,0.47263297,64964000,2_7
0.27576482,-0.035113174,0.47183108,64984000,2_7
0.2748868,-0.035263196,0.47216654,65004000,2_7
0.27570882,-0.036250554,0.47189447,65024000,2_7
0.27663696,-0.0357813,0.47203124,65048000,2_7
0.27579045,-0.03510123,0.47406337,65068000,2_7
0.2765645,-0.036258798,0.4730834,65088000,2_7
0.27665424,-0.03644846,0.47411418,65108000,2_7
0.27571902,-0.035069417,0.4736857,65128000,2_7
0.2761677,-0.03530519,0.4711158,65148000,2_7
0.27696845,-0.034776088,0.47208762,65168000,2_7
0.27589,-0.03607879,0.47162697,65188000,2_7
0.2743128,-0.0340951,0.4741753,65208000,2_7
0.27703923,-0.034775417,0.47431278,65228000,2_7
0.27622238,-0.03390751,0.47265378,65248000,2_7
0.2766198,-0.035138912,0.4721335,65268000,2_7
0.2746315,-0.03422743,0.47289553,65288000,2_7
0.27701196,-0.035308745,0.47376785,65308000,2_7
0.27644196,-0.035102107,0.47309476,65328000,2_7
0.2747096,-0.035262723,0.47357184,65348000,2_7
0.2761685,-0.03487986,0.4736196,65368000,2_7
0.27498564,-0.03523271,0.4729103,65388000,2_7
0.27629876,-0.034585714,0.47316644,65408000,2_7
0.2745331,-0.03531518,0.47327015,65428000,2_7
0.2752206,-0.035628017,0.47510487,65448000,2_7
0.27628347,-0.03369,0.47269222,65468000,2_7
0.27501488,-0.03462911,0.47341487,65488000,2_7
0.2760055,-0.03527917,0.4736223,65508000,2_7
0.27486253,-0.033928107,0.47310624,65528000,2_7
0.27461806,-0.033902775,0.47384992,65548000,2_7
0.27601597,-0.03507352,0.47173887,65568000,2_7
0.27430698,-0.033770334,0.47345343,65588000,2_7
0.27507913,-0.036552202,0.47335997,65608000,2_7
0.27568984,-0.03664932,0.4747219,65628000,2_7
0.27623153,-0.03512627,0.47309732,65648000,2_7
0.27416292,-0.034950923,0.4731519,65668000,2_7
0.27450746,-0.035695743,0.47384357,65688000,2_7
0.27475765,-0.035720553,0.47454324,65708000,2_7
0.27536038,-0.034326,0.47138223,65728000,2_7
0.27560398,-0.035788972,0.474032,65748000,2_7
0.27473083,-0.036432274,0.4735478,65768000,2_7
0.2752425,-0.033405278,0.47161397,65788000,2_7
0.27627015,-0.03690919,0.47485015,65808000,2_7
0.27561352,-0.034832437,0.47414428,65828000,2_7
0.2749662,-0.03495572,0.4745655,65848000,2_7
0.27515477,-0.035061482,0.47220397,65868000,2_7
0.27369124,-0.036782138,0.47437248,65888000,2_7
0.27467993,-0.03619651,0.47361612,65908000,2_7
0.2750158,-0.03473209,0.4735797,65928000,2_7
0.27519843,-0.035466295,0.47321495,65948000,2_7
0.2740854,-0.035057943,0.47469497,65968000,2_7
0.27590725,-0.03515783,0.47482124,65988000,2_7
0.27527085,-0.03329722,0.4736975,66008000,2_7
